strain_host	corrected_host	latin_name	category	order	domesticstatus	source
thalasseussandvicensis	sandwich_tern		tern	charadriiformes		clara_birds,clara_global
thayersgull	thayersgull	Larus glaucoides thayeri	gull	charadriiformes	wild	clara_nam,clara_global
thickbiilledmurre						jordan
thickbilledmurre	thickbilledmurre	Uria lomvia	seabird	charadriiformes	wild	jordan
thrush						jordan
tree_sparrow	tree_sparrow		passerine	passeriformes		clara_birds
treesparrow	tree_sparrow		passerine	passeriformes		clara_birds
treeswallow	treeswallow	Tachycineta bicolor	passerine	passeriformes	wild	clara_nam
trumpeterswan	trumpeterswan	Cygnus buccinator	swan	anseriformes	wild	clara_nam,clara_birds,clara_global
tufted_duck	Tufted_duck		duck	anseriformes		clara_birds
tuftedduck	Tufted_duck		duck	anseriformes		clara_birds,clara_global
tundrabeangoose						jordan
tundraswan	tundraswan	Cygnus columbianus	swan	anseriformes	wild	clara_nam,clara_birds,clara_global
turkey	turkey	Meleagris gallopavo	turkey	galliformes	unknown	clara_nam,clara_birds,clara_global
turkeyvulture	turkeyvulture	Cathartes aura	raptor	accipitriformes	wild	clara_nam,clara_global
turnstone	ruddy_turnstone		wader	charadriiformes		clara_birds
turtle_dove	turtle_dove		dove	columbiformes		clara_birds
turtledove	turtle_dove		dove	columbiformes		clara_birds
ty						jordan
tytoalba						jordan,clara_global
uralowl						jordan,clara_global
velvet_scoter	velvet_scoter		duck	anseriformes		clara_birds
village_chicken	chicken		chicken	galliformes		clara_birds
villagechicken	chicken		chicken	galliformes		clara_birds
vonschrencksbittern						jordan
vulture	vulture		raptor	accipitriformes	wild	clara_nam,clara_birds,clara_global
warbler	warbler		passerine	passeriformes	wild	clara_nam
waterchicken	common_moorhen		moorhen	gruiformes		clara_birds
watercock	watercock		watercock	gruiformes		clara_birds
waterfowl	waterfowl			anseriformes	unknown	clara_nam,clara_global
wedge-tailed_shearwater	shearwater		shearwater	procellariiformes		clara_birds
westerncattleegret	cattleegret	Ardea ibis	wader	pelecaniformes	wild	jordan
westerngrebe	westerngrebe	Aechmophorus occidentalis	grebe	podicipediformes	wild	clara_nam,clara_global
westerngull	westerngull	Larus occidentalis	gull	charadriiformes	wild	clara_nam,clara_global
westernjackdaw						jordan,clara_global
westernkingbird	westernkingbird	Tyrannus verticalis	passerine	passeriformes	wild	clara_nam
westernmarshharrier						jordan,clara_global
westernsandpiper	westernsandpiper	Calidris mauri	wader	charadriiformes	wild	clara_nam,clara_global
westernscreechowl	westernscreechowl	Megascops kennicottii	owl	strigiformes	wild	clara_nam,clara_global
westernsnowyplover	snowyplover	Anarhynchus nivosus	wader	charadriiformes	wild	clara_nam
whimbrel	hudsonianwhimbrel	Numenius hudsonicus		charadriiformes	wild	clara_nam
whiskeredtern						jordan
whistlingduck						jordan,clara_global
whistlingswan	tundraswan	Cygnus columbianus	swan	anseriformes	wild	clara_nam,clara_birds
white-backedmunia	white-backed_munia		passerine	passeriformes		clara_birds
white-fronted_goose	white-fronted_goose		goose	anseriformes		clara_birds
white_peckin_duck	pekin_duck		duck	anseriformes		clara_birds
whitebackedmunia	white-backed_munia		passerine	passeriformes		clara_birds
whitebackedstilt						jordan
whitebreastedcormorant						jordan
whitecrownedsparrow	whitecrownedsparrow	Zonotrichia leucophrys	passerine	passeriformes	wild	clara_nam
whiteeyedpochard	white-eyed_pochard		duck	anseriformes		clara_birds,jordan
whitefacedibis	whitefacedibis	Plegadis chihi	wader	pelecaniformes	wild	clara_nam
whitefacedwhistlingduck						jordan
whitefrontedgoose	greater_white-fronted_goose		goose	anseriformes		clara_birds,clara_global
whitefrontgoose	greater_white-fronted_goose		goose	anseriformes		clara_birds,jordan
whitenapedcrane	whitenapedcrane	Antigone vipio		gruiformes	wild	jordan,clara_global
whitepeacock						jordan
whitepeafowl	white_peafowl		peafowl	galliformes		clara_birds
whitestork	white_stork	Ciconia ciconia	stork	ciconiiformes		clara_birds,clara_global
whitetailedeagle	white-tailed_eagle		raptor	accipitriformes		clara_birds,clara_global
whitetailedseaeagle						jordan
whitewingedblacktern						jordan
whitewingeddove	whitewingeddove	Zenaida asiatica	dove	columbiformes	wild	clara_nam,clara_global
whitewingedscoter	whitewingedscoter	Melanitta deglandi	duck	anseriformes	wild	clara_nam,clara_global
whooper_swan	whooper_swan		goose	anseriformes		clara_birds
whooperswan	whooper_swan		goose	anseriformes		clara_birds,clara_global
whooperswans						jordan
whoopingswan	whooper_swan		goose	anseriformes		clara_birds
wide_bird	avian		avian	avian		clara_birds
widgeon	American_wigeon		duck	anseriformes		clara_birds,jordan
wigeon	wigeon		duck			jordan,clara_global
wild_bird	bird		avian	avian		clara_birds
wild_birds	wild_birds		avian	avian		clara_birds
wild_boar	swine		swine	swine		clara_birds
wild_chicken	chicken		chicken	galliformes		clara_birds
wild_duck	duck		duck	anseriformes		clara_birds
wild_waterfowl	waterfowl		waterfowl	anseriformes		clara_birds
wildbird	wildbird		unknown	unknown	wild	clara_nam,clara_birds,clara_global
wildbirdsguineafowlmakouegyptiangeese						jordan
wildbirdsulanebouxii						jordan,clara_global
wildduck	wildduck		duck	anseriformes	wild	clara_nam,clara_birds,clara_global
wildfowl	fowl		fowl	galliformes		clara_birds
wildgeese	goose		goose	anseriformes		clara_birds,jordan,clara_global
wildgoose	wildgoose		goose	anseriformes	wild	clara_nam,clara_birds,clara_global
wildhybridduck	wildduck		duck	anseriformes	wild	clara_nam
wildpigeon						jordan
wildswan	swan		swan	anseriformes		clara_birds
wildturkey	wildturkey	Meleagris gallopavo	turkey	galliformes	wild	clara_nam,clara_birds,clara_global
wildwaterbird						jordan
wildwaterfowl	wildwaterfowl				wild	jordan
willet	willet	Tringa semipalmata	wader	charadriiformes	wild	clara_nam,clara_global
withetiledeagle	white-tailed_eagle		raptor	accipitriformes		clara_birds,clara_global
wood_duck	Wood_duck		duck	anseriformes		clara_birds
woodduck	woodduck	Chenonetta jubata or Aix sponsa	duck	anseriformes	wild	clara_nam,clara_birds,clara_global
yellow-billed_pintail	yellow-billed_pintail		duck	anseriformes		clara_birds
yellow_billed_duck	yellow-billed_duck		duck	anseriformes		clara_birds
yellowbilledduck	yellow-billed_duck		duck	anseriformes		clara_birds
yellowbilledpintail						jordan
yellowbilledteal						jordan
yellowheadedamazon						jordan
yellowleggedgull	yellow-legged_gull	Larus michahellis	gull	charadriiformes	wild	clara_birds,jordan,clara_global
yellowleggendgull						jordan,clara_global
zoopelican						jordan,clara_global
cattle	cattle	Bos taurus	cattle	artiodactyla	domestic	clara_nam
