strain_host	corrected_host	latin_name	category	order	domesticstatus	source
mallard(anas_platyrhynchos)	mallard		duck	anseriformes		clara_birds
mallard-black_duck_hybrid	mallard-black_duck_hybrid		duck	anseriformes		clara_birds
mallard_duck	mallard		duck	anseriformes		clara_birds
mallardblackduckhybrid						jordan
mallarddenmark						jordan
mallardduck	mallard	Anas platyrhynchos	duck	anseriformes	wild	clara_nam,clara_birds,clara_global
mandarin_duck	Mandarin_duck		duck	anseriformes		clara_birds
mandarinduck	Mandarin_duck		duck	anseriformes		clara_birds,clara_global
maned_goose	wood_duck		duck	anseriformes		clara_birds
manxshearwater	manxshearwater	Puffinus puffinus	seabird	procellariiformes	wild	clara_nam,clara_global
marabou_stork	marabou_stork		stork	ciconiiformes		clara_birds
maraboustork	marabou_stork		stork	ciconiiformes		clara_birds
marmaronettaangustirostris						jordan
mediterraneangull	mediterraneangull	Ichthyaetus melanocephalus	gull	charadriiformes	wild	jordan,clara_global
melanitta_nigra	common_scoter		duck	anseriformes		clara_birds
meleagrisgallopavo	wild_turkey	Meleagris gallopavo	turkey	galliformes	unknown	clara_birds,jordan,clara_global
merganser	merganser	Mergus	duck	anseriformes	wild	clara_nam,clara_global
mergus	duck		duck	anseriformes	unknown	clara_nam,clara_global
mergusalbellus	smew		duck	anseriformes		clara_birds
merlin	merlin	Falco columbarius	raptor	falconiformes	wild	clara_nam
mewgull						jordan
mexicanduck						jordan
migratorybird	migratory_bird		avian	avian		clara_birds
migratoryduck	duck		duck	anseriformes		clara_birds
migratorywaterfowl						jordan
mink	mink		mink	mink		clara_birds
mixed	multispecies			unknown	unknown	clara_nam,clara_global
mixeddomesticanatidae						jordan,clara_global
mixeddomesticphasianidae						jordan,clara_global
mixedwildbirds	mixed_wild_birds		avian	avian	unknown	clara_birds,jordan,clara_global
moorhen	moorhen		moorhen	gruiformes		clara_birds,clara_global
morusbassanus	northern_gannet		gannet	suliformes		clara_birds,jordan,clara_global
mottledduck	mottledduck	Anas fulvigula	duck	anseriformes	wild	clara_nam,clara_global
mountain_hawk_eagle	mountain_hawk-eagle		raptor	accipitriformes		clara_birds
mountainhawk-eagle	mountain_hawk-eagle		raptor	accipitriformes		clara_birds
mountainhawkeagle						jordan
mourningdove	mourningdove	Zenaida macroura	dove	columbiformes	wild	clara_nam
mswan						jordan
mulardduck	mulardduck	Anas platyrhynchos _ Cairina moschata	duck	anseriformes	domestic	jordan
mule_duck	mule_duck		duck	anseriformes		clara_birds
muleduck	mulardduck	Anas platyrhynchos _ Cairina moschata	duck	anseriformes	domestic	jordan,clara_global
multispecies	multispecies			unknown	unknown	clara_nam,clara_global
munia	munia		passerine	passeriformes		clara_birds
muscovy	Muscovy_duck		duck	anseriformes		clara_birds
muscovy_duck	Muscovy_duck		duck	anseriformes		clara_birds
muscovyduck	muscovyduck	Cairina moschata	duck	anseriformes	unknown	clara_nam,clara_birds,clara_global
mute_swan	mute_swan		goose	anseriformes		clara_birds
muteswan	muteswan	Cygnus olor	goose	anseriformes	wild	clara_nam,clara_birds,clara_global
mynah	myna		passerine	passeriformes		clara_birds
mynas	myna		passerine	passeriformes		clara_birds
nasuanasua						jordan
nativechicken						jordan,clara_global
nenegoose						jordan,clara_global
neotropiccormorant	neotropiccormorant	Phalacrocorax brasilianus	cormorant	suliformes	wild	clara_nam,clara_birds,clara_global
netta_rufina	red-crested_pochard		duck	anseriformes		clara_birds
nightheron						jordan
nightingale	nightingale		passerine	passeriformes		clara_birds
northen_pintail	northern_pintail		duck	anseriformes		clara_birds
northernfulmar	northernfulmar	Fulmarus glacialis	seabird	procellariiformes	wild 	clara_nam,clara_global
northerngannet	northerngannet	Morus bassanus	seabird	suliformes	wild	clara_nam,clara_birds,clara_global
northerngiantpetrel						jordan
northerngoshawk	northern_goshawk		raptor	accipitriformes		clara_birds,clara_global
northernharrier	northernharrier	Circus hudsonius	hawk	accipitriformes	wild	clara_nam,clara_global
northernlapwing						jordan
northernpintail	northernpintail	Anas acuta	duck	anseriformes	wild	clara_nam,clara_birds,clara_global
northernsawwhetowl	northernsawwhetowl	Aegolius acadicus	owl	strigiformes	wild	clara_nam
northernshoveler	northernshoveler	Spatula clypeata	duck	anseriformes	wild	clara_nam,clara_birds,clara_global
northwesterncrow	americancrow	Corvus brachyrhynchos	passerine	passeriformes	wild	clara_nam,clara_birds,clara_global
notherngannet	northern_gannet	Morus bassanus	gannet	suliformes	wild	clara_birds,jordan,clara_global
numeniusarquata						jordan,clara_global
open-billedstork	open-billed_stork		stork	ciconiiformes		clara_birds
open-billibis	open-billed_ibis		ibis	pelecaniformes		clara_birds
open-billstork	open-billed_stork		stork	ciconiiformes		clara_birds
open_bill_stork	open-billed_stork		stork	ciconiiformes		clara_birds
open_billed_stork	open-billed_stork		stork	ciconiiformes		clara_birds
