order	species_group
anseriformes	Anseriformes
galliformes	Galliformes
accipitriformes	Raptor
falconiformes	Raptor
strigiformes	Raptor
charadriiformes	Other- Waterbird
pelecaniformes	Other- Waterbird
suliformes	Other- Waterbird
podicipediformes	Other- Waterbird
passeriformes	Passerine
casuariiformes	Other- Avian
rheiformes	Other- Avian
avian	Other- Avian
